"0","0","0[-,s,m]","BAve","L25","imp","0","s","m"
"0_xe_wA_ho_future","0_xewA_ho_future","0[-,-,-]xe_wA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L16","n","-1","-1","-1"
"0_xe_yA","0_xiyA","0[-,-,-]xe_yA[g_v,n_v,-]","karma","L16","ne","-1","-1","0"
"0_xe_yA_WA_WA","0_xiyA_WA","0[-,-,-]xe_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karma","L16","ne","-1","-1","0"
"0_xe_yA_hE_hE","0_xiyA_hE","0[-,-,-]xe_yA[g_v,n_v,-]hE_hE[-,n_v,-]","karma","L16","ne","-2","-1","0"
"0_xe_yA_ho_0","0_xiyA_ho","0[-,-,-]xe_yA[g_v,n_v,-]ho_0[-,n_v,-]","karma","L16","ne","-2","-1","0"
"0_xe_yA_ho_future","0_xiyA_ho_future","0[-,-,-]xe_yA[g_v,n_v,-]ho_future[g_v,n_v,-]","karma","L16","ne","-1","-1","0"
"0_xe_yA_ho_wA","0_xiyA_howA","0[-,-,-]xe_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karma","L16","ne","-1","-1","0"
"future","future","future[g_v,n_v,p_v]","karwA","L1","n","-1","-1","-1"
"nA","nA","nA[-,s,m]","BAve","L24","imp","0","s","m"
"nA_WA_WA","nA_WA","nA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karma","L24","ko","-1","-1","0"
"nA_cAhiye","nA_cAhiye","nA[g_v,n_v,-]_cAhiye[-,-,-]","karma","L1","ko","-2","-2","0"
"nA_hE_hE","nA_hE","nA[g_v,n_v,-]hE_hE[-,n_v,-]","karma","L24","ko","-2","-1","0"
"nA_ho_0","nA_ho","nA[g_v,n_v,-]ho_0[-,n_v,-]","karma","L24","ko","-2","-1","0"
"nA_ho_future","nA_ho_future","nA[g_v,n_v,-]ho_future[g_v,n_v,-]","karma","L24","ko","-1","-1","0"
"nA_ho_wA","nA_howA","nA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karma","L24","ko","-1","-1","0"
"nA_jA_0_raha_yA_WA_WA","nA_jA_rahA_WA","nA[m,p,-]jA_0[-,-,-]raha_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]_","karwA","L2","n","-1","-1","0"
"nA_jA_0_raha_yA_hE_hE","nA_jA_rahA_hE","nA[m,p,-]jA_0[-,-,-]raha_yA[g_v,n_v,-]hE_hE[-,n_v,p_v]_","karwA","L2","n","-2","-1","-1"
